student_name,age,student_grade,game_mode,session_start,session_end,final_score,total_problems,correct_problems,accuracy,session_id,total_screen_time,average_reaction_time
dd5,5,5,COUNTING,2026-06-18 09:29:33,2026-06-18 09:30:29,20,3,2,66.67,20260618_092933_3067,56.47,14.663
amir,25,12,COUNTING,2026-06-18 09:36:31,2026-06-18 09:37:50,10,4,1,25.00,20260618_093631_1466,78.65,17.447
ddf,12,5,COUNTING,2026-06-18 09:38:47,2026-06-18 09:40:23,90,16,9,56.25,20260618_093847_7805,95.21,4.609,0.2536,BASIC,1
